Query,Start_time,Task_time(ms)
A,2022-05-14 12:25:06.747069,25.8
A,2022-05-14 12:25:10.851761,24.1
A,2022-05-14 12:25:11.894641,22.9
A,2022-05-14 12:25:12.934454,23.9
A,2022-05-14 12:25:13.883954,25.4
A,2022-05-14 12:25:14.722526,22.7
AAAA,2022-05-14 12:25:15.660437,22.8
NS,2022-05-14 12:25:17.392497,26.6
A,2022-05-14 12:25:18.807278,22.7
A,2022-05-14 12:25:19.760268,22.5
A,2022-05-14 13:51:19.111787,23.9
A,2022-05-14 13:51:21.191033,23.8
AAAA,2022-05-14 13:51:22.735585,21.6
A,2022-05-14 13:51:24.503572,23.6
A,2022-05-14 13:51:25.379620,23.5
A,2022-05-14 13:51:25.823017,21.0
A,2022-05-14 13:51:26.198559,21.8
AAAA,2022-05-14 13:51:29.053096,23.7
NS,2022-05-14 13:51:30.749268,23.0
A,2022-05-14 13:51:42.591517,23.8
A,2022-05-14 13:51:46.326353,26.5
A,2022-05-14 13:51:47.876150,22.1
A,2022-05-14 13:51:49.036498,26.0
A,2022-05-14 13:51:50.013481,25.8
A,2022-05-14 13:51:50.908457,23.0
AAAA,2022-05-14 13:51:51.757879,23.2
A,2022-05-15 16:41:14.490544,23.2
AAAA,2022-05-15 16:41:16.215697,22.0
NS,2022-05-15 16:41:19.998540,23.2
MX,2022-05-15 16:41:22.353258,29.0
TXT,2022-05-15 16:41:26.740424,28.2
CNAME,2022-05-15 16:41:45.431978,30.8
NS,2022-05-15 21:40:02.186472,22.3
AAAA,2022-05-15 21:40:06.579776,31.8
A,2022-05-16 16:40:21.090504,33.2
A,2022-05-16 16:40:23.334656,23.7
A,2022-05-16 16:40:24.373144,30.1
A,2022-05-16 16:40:25.563719,22.2
A,2022-05-16 16:40:26.738725,23.3
A,2022-05-16 16:40:28.132001,23.3
AAAA,2022-05-16 16:40:29.734032,30.6
AAAA,2022-05-16 16:40:31.237031,21.5
AAAA,2022-05-16 16:40:32.117096,24.7
AAAA,2022-05-16 16:40:32.936232,22.8
AAAA,2022-05-16 16:40:33.696838,20.3
AAAA,2022-05-16 16:40:35.222001,25.5
AAAA,2022-05-16 16:40:37.741229,27.2
NS,2022-05-16 16:40:42.111191,40.4
NS,2022-05-16 16:40:44.422260,23.4
NS,2022-05-16 16:40:45.853191,25.8
NS,2022-05-16 16:40:47.029288,16.1
NS,2022-05-16 16:40:48.495939,16.1
NS,2022-05-16 16:40:49.878688,35.6
NS,2022-05-16 16:40:51.398351,25.5
NS,2022-05-16 16:40:52.749640,23.2
MX,2022-05-16 16:40:54.926788,60.4
MX,2022-05-16 16:40:57.149061,28.0
MX,2022-05-16 16:40:58.509639,30.8
A,2022-05-17 23:12:48.535370,56.8
A,2022-05-17 23:12:50.715989,26.9
A,2022-05-17 23:12:52.380691,27.5
A,2022-05-17 23:12:53.391088,24.1
A,2022-05-17 23:12:54.372944,31.9
A,2022-05-17 23:12:55.445753,26.6
A,2022-05-17 23:12:56.354055,30.0
A,2022-05-17 23:12:57.705063,27.5
A,2022-05-17 23:12:58.440265,25.2
A,2022-05-17 23:12:59.757613,32.4
AAAA,2022-05-17 23:13:01.354824,39.4
AAAA,2022-05-17 23:13:02.774665,22.9
AAAA,2022-05-17 23:13:04.255053,25.9
AAAA,2022-05-17 23:13:05.261328,26.2
AAAA,2022-05-17 23:13:06.352561,26.6
AAAA,2022-05-17 23:13:07.120061,24.3
AAAA,2022-05-17 23:13:08.048276,25.7
AAAA,2022-05-17 23:13:08.970933,25.8
AAAA,2022-05-17 23:13:09.899881,26.7
NS,2022-05-17 23:13:12.098493,42.8
NS,2022-05-17 23:13:13.851879,26.0
NS,2022-05-17 23:13:14.758391,26.6
NS,2022-05-17 23:13:15.711909,23.5
NS,2022-05-17 23:13:17.059600,26.0
NS,2022-05-17 23:13:18.179444,18.0
NS,2022-05-17 23:13:19.439870,18.7
NS,2022-05-17 23:13:20.806476,20.4
TXT,2022-05-17 23:13:23.793183,56.0
TXT,2022-05-17 23:13:24.600380,32.5
TXT,2022-05-17 23:13:25.775200,26.5
TXT,2022-05-17 23:13:26.432282,40.7
A,2022-05-17 23:13:27.314255,37.4
AAAA,2022-05-17 23:13:32.120732,27.6
A,2022-05-17 23:13:33.342083,26.9
AAAA,2022-05-17 23:13:34.809929,25.9
NS,2022-05-17 23:13:35.593073,18.9
A,2022-05-17 23:26:07.233382,30.8
A,2022-05-17 23:26:09.292275,26.8
A,2022-05-17 23:26:12.083159,27.4
AAAA,2022-05-17 23:26:13.929552,34.1
A,2022-05-17 23:26:15.737095,22.4
AAAA,2022-05-17 23:26:16.756750,25.0
